"* Required Fields","* Поля, обязательные к заполнению"
"Add","Добавить"
"Add Gift Message","Добавить поздравительное сообщение"
"Allow Gift Messages for Order Items","Разрешить поздравительные сообщения для товаров заказа"
"Allow Gift Messages on Order Level","Разрешить поздравительные сообщения на уровне заказа"
"Are you sure?","Вы уверены?"
"Cancel","Отменить"
"Check this checkbox if you want to add gift messages to your items.","Отметьте этот флажок, если вы хотите добавить поздравительное сообщение для ваших товаров"
"Check this checkbox if you want to add gift messages.","Отметьте этот флажок, если вы хотите добавить поздравительное сообщение."
"Close","Закрыть"
"Do you have any gift items in your order?","У вас есть какие-либо поздравительные товары в вашем заказе ?"
"Edit","Редактировать"
"Edit Gift Message","Редактировать поздравительное сообщение"
"Enter a gift message for each item in your order.","Редактировать поздравительное сообщение для каждого товара вашего заказа"
"Enter a gift message for entire order.","Ввести поздравительное сообщение для всего заказа"
"Enter a gift message for this address.","Ввести поздравительное сообщение для этого адреса"
"Error while saving gift message","Ошибка при сохранении поздравительного сообщения"
"From","Из"
"Gift Message","Поздравительное сообщение было успешно сохранено"
"Gift Messages","Поздравительные сообщения"
"Gift message has been successfully saved","Поздравительное сообщение было успешно сохранено"
"Item %d of %d","Товар %d из %d."
"Message","Сообщение"
"No","Нет"
"Remove","Удалить"
"Save","Сохранить"
"Save Gift Message","Сохранить поздравительное сообщение"
"To","до"
"Unknown entity type","Неизвестный тип сущности"
"Use config","Использовать конфиг-файл"
"Yes","Да"
"You can leave a box blank if you don\'t wish to add a gift message for the item.","Вы можете оставить поле пустым, если не хотите добавлять поздравительное сообщение для этой вещи."
"You can leave a box blank if you don\'t wish to add a gift message for this address.","Вы можете оставить поле пустым, если не хотите добавлять поздравительное сообщение для этого адреса."
"You can leave a box blank if you don\'t wish to add a gift message for whole order.","Вы можете оставить поле пустым, если не хотите добавлять поздравительное сообщение для целого заказа."
"Your gift message has been successfully removed","Ваше поздравительное сообщение удалено"
"Your gift message has been successfully saved","Ваше поздравительное сообщение сохранено"
"Your gift message successfully removed","Ваше поздравительное сообщение удалено"
"Your gift message successfully saved","Ваше поздравительное сообщение сохранено"
