"%s already exist","%s уже существует"
"%s already exists","%s уже существует"
"-- Please Select --","-- Выбирайте из списка --"
"Add Block Names to Hints","Добавлять имена блоков к подсказкам"
"Add Store Code to Urls","Добавить код магазина в ссылки"
"Admin","Администратор"
"Admin Base URL","Вход в админку"
"Admin User Emails","Почтовые ящики администратора"
"Advanced","Расширенные"
"Allow countries","Разрешенные страны"
"Allowed IPs (comma separated)","Разрешенные IP-адреса (через запятую)"
"Are you sure?","Вы уверены?"
"Back","Назад"
"Backup options","Параметры архивной копии"
"Base JavaScript URL","Базовая ссылка JavaScript"
"Base Link URL","Базовая ссылка ссылок :)"
"Base Media URL","Базовая ссылка медиа"
"Base Skin URL","Базовая ссылка шкурки"
"Base URL","Базовый url"
"Before modifying the store view code please make sure that it is not used in index.php","Перед изменением кода представления магазина убедитесь что он не используется на главной странице (index.php)"
"Before modifying the website code please make sure that it is not used in index.php","Перед изменением кода магазина убедитесь что он не используется на главной странице (index.php)"
"Block with name ""%s"" already exists","Блок с именем ""%s"" уже существует"
"Blocks HTML output","HTML код блоков"
"Can't retrieve request object","Не удается найти объект запроса"
"Can\'t retrieve entity config: %s","Невозможно получить конфигурацию: %s"
"Cancel","Отмена"
"Cannot Delete Email Template","Нельзя удалить шаблон E-mail"
"Cannot complete this operation from non-admin area.","Невозможно завершить операцию вне системы управления."
"Category object is required for determining product request path","Объект категории требуется для определения строки адреса продукта"
"Code","Код"
"Collections Data","Данные коллекций"
"Configuration","Конфигурация"
"Controller file was loaded but class does not exist","Файл контроллера был загружен, но класс не существует"
"Cookie Domain","Домен для cookies"
"Cookie Lifetime","Время жизни cookies"
"Cookie Path","Путь cookies"
"Copyright","Авторские права"
"Countries options","Опции для стран"
"Create Store","Создать магазин"
"Create Store View","Создать вид магазина"
"Create Website","Создать сайт"
"Current package name","Название текущего пакета"
"Custom Design","Другой дизайн"
"Custom admin URL","Другой адрес (URL) для администратора"
"Custom email 1","Другой email 1"
"Custom email 2","Другой email 2"
"Customer support","Служба поддержки"
"Date From","Дата от"
"Date To","Дата до"
"date/time format ""%s"" is not supported.","Формат даты и времени ""%s"" не поддерживается."
"Debug","Отладка"
"Default","По умолчанию"
"Default Description","Описание по умолчанию"
"Default Keywords","Ключевые слова по умолчанию"
"Default Pages","Страницы по умолчанию"
"Default Robots","Роботы по умолчанию"
"Default Store","Магазин по умолчанию"
"Default Store View","Вид магазина по умолчанию"
"Default Title","Название по умолчанию"
"Default country","Страна по умолчанию"
"Default no-route url","Url в случае отсутствия страницы по умолчанию"
"Default web url","Web URL по умолчанию"
"Delete","Удалить"
"Delete Store","Удалить магазин"
"Delete Store View","Удалить вид магазина"
"Delete Website","Удалить сайт"
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","Удаление %1$s не удалит информацию, связанную с %1$s (категории товары и т.д.), но в дальнейшем %1$s восстановить будет невозможно. Предполагается, что Вы создали архивную копию БД перед удалением %1$s."
"Design","Дизайн"
"Design Change","Изменения дизайна"
"Developer","Для разработчика"
"Developer Client Restrictions","Ограничения, накладываемые разработчиком на пользователей"
"Disable email communications","Отключение сообщений электронной почты"
"Disable modules output","Отключение вывода модулей"
"Duplicate Of Template Code","Копия кода шаблона"
"Edit Design Change","Изменить дизайн"
"Edit Store","Изменить магазин"
"Edit Store View","Изменить вид магазина"
"Edit Website","Изменить сайт"
"Empty identifier field name","Пусто название идентификатора поля"
"Empty main table name","Пустое название основной таблицы"
"Enabled","Включено"
"Enabled for Admin","Включено для административной панели"
"Enabled for Frontend","Включено для сайта"
"Error in file: ""%s"" - %s","Ошибка в файле: ""%s"" - %s"
"Error while saving. Please try again later.","Ошибка при сохранении. Пожалуйста, попробуйте еще раз позже."
"Error: Passwords do not match","Ошибка: пароли не совпадают"
"Exceptions Log File Name","Имя файла лога для исключений"
"First Day of Week","Первый день недели"
