"%1$s was successfully added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping","%1$s ы был успешно добавлен в ваших пожеланий. нажмите <a href='%2$s'> здесь </ один> для продолжения покупок"
"%s's Wishlist","%s. Список отмеченных товаров"
"* Required Fields","* Required Fields"
"Add All to Cart","Положить все в корзину"
"Add to Cart","Add to Cart"
"Add to Wishlist","Add to Wishlist"
"Added On","Добавлено"
"Are you sure you want to remove this product from your wishlist?","Вы действительно хотите удалить этот продукт из списка отмеченных вами товаров?"
"Are you sure you would like to remove this item from the wishlist?","Are you sure you would like to remove this item from the wishlist?"
"Back","Back"
"Can\'t save description %s","Can\'t save description %s"
"Cannot create wishlist","Не удается создать список отмеченных товаров"
"Cannot specify product","Не удается указать товар"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Установите этот флажок, если хотите добавить ссылку на rss канал отмеченных вами товаров."
"Comment","Comment"
"Email Sender","Email Sender"
"Email Template","Email Template"
"Email address can\'t be empty.","Email address can\'t be empty."
"Email addresses, separated by commas","Email адреса, разделенные запятыми"
"Enabled","Enabled"
"General Options","Общие параметры"
"Go to Wishlist","Перейти в список отмеченных товаров"
"Last Added Items","Последняя добавлено пункты"
"Message","Message"
"My Wishlist","Отмеченные товары"
"My Wishlist (%d item)","Список отмеченных мною товаров (%d шт.)"
"My Wishlist (%d items)","Список отмеченных мною товаров (%d шт.)"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Пожалуйста, введите адреса электронной почты, разделенные запятыми. Например, johndoe@domain.com, johnsmith@domain.com."
"Please, enter your comments...","Пожалуйста, введите ваши комментарии ..."
"Product","Product"
"RSS Feed","RSS Feed"
"RSS link to %s's wishlist","Rss ссылку на отмеченные товары (%s)"
"Remove Item","Remove Item"
"Share Wishlist","Опубликовать список отмеченных товаров"
"Share Your Wishlist","Опубликовать ваш список отмеченных товаров"
"Share options","Опции разделения"
"Sharing Information","Sharing Information"
"There was an error while adding item to wishlist.","There was an error while adding item to wishlist."
"There was an error while adding item to wishlist: %s","Возникла ошибка при добавлении товара в список пожеланий: %s"
"There was an error while deleting item from wishlist.","There was an error while deleting item from wishlist."
"There was an error while deleting item from wishlist: %s","Возникла ошибка при удалении товара из списка пожеланий: %s"
"This product(s) is currently out of stock:","This product(s) is currently out of stock:"
"Update Wishlist","Обновить список отмеченных товаров"
"View Product","Cмотреть товар"
"Wishlist","Список отмеченных товаров"
"Wishlist Section","Wishlist Section"
"Wishlist Sharing","Публикация списка отмеченных товаров"
"Wishlist is empty now.","Wishlist is empty now."
"You have no items in your wishlist.","У вас нет отмеченных товаров"
"You input not valid email address.","You input not valid email address."
"Your Wishlist was successfully shared","Список отмеченных товаров успешно опубликован"
